gene	mean	std
YBR298C	1151.63222944644	182.66757478586
YKR044W	12723.9281038787	277.392783891059
YCL025C	7504.18517486111	607.213830128663
YGR065C	8926.81780501957	2544.23125885517
YKR054C	8850.78347074018	153.133062149424
YER025W	1939.41157926103	455.378464994594
YER025W	6449.50506612794	1724.59103540066
YGR065C	1525.2934530914	241.932934490207
YCL064C	108.543593722142	22.4673377181201
YDL189W	18551.4923285719	2206.3099579854
YNR001C	18580.4768837429	4787.97198517869
YNR053C	3563.94201333549	338.964716355109
YPL113C	5423.80788883631	105.248475515482
YER149C	1235.51152596887	63.0692092579147
YJL139C	2171.99525544177	211.357759476845
YNR044W	1700.90453059781	106.164458792007
YCR011C	5229.87736837741	1101.5274352302
YBR046C	734.728278472948	33.6371161825314
YDR042C	3494.38549840116	822.351484609691
YNR054C	3275.09523653753	406.759075365489
YLR167W	3157.21693346322	868.724299468432
YCR011C	3228.96022984341	621.723679788141
YDL181W	2494.72934584785	200.730244014385
YBR073W	632.722156282615	41.6718488822606
YPL268W	28749.0235165828	1137.89381913698
YNL106C	1678.56575169495	413.091530522022
YKR095W	43556.0009171934	6116.81158483226
YDL130W	2173.28751622787	38.1371327299511
YOR378W	2830.90506726853	378.419727517879
YPR036W	51767.2079972395	863.90488036763
YDR384C	1635.58644900181	140.40012046678
YJL200C	4157.23347795362	458.814978471799
YBR291C	4815.04326586203	755.977822009305
YDL036C	196.529692357817	45.0643663025108
YEL063C	2764.1227958753	226.133448123585
YOR030W	28905.4609416513	1751.85485181268
YHL034C	5199.05106727333	459.869269938148
YGR119C	2393.87896457181	86.8250403300241
YJR072C	1588.87025145034	149.265942362183
YMR200W	719.090440116279	100.302397527036
YER149C	5686.28437797036	168.203854330653
YJR109C	4879.94171516337	687.066288601335
YMR053C	754.492507016892	50.2945266849912
YIR034C	680.895511967519	59.7864533714705
YMR054W	4944.63633606021	367.744561105174
YMR251W	44377.8531109806	1037.13133254459
YBR181C	230.63324684699	40.0540304681308
YJR061W	94.7246941481057	20.7045653114137
YOR388C	706.970418924543	87.526345636464
YIL093C	1117.22502697495	130.948177710646
YER161C	766.809910922515	35.6113247788732
YCL025C	6066.83455892131	1487.44197133951
YIL093C	4854.7658491403	570.128111435896
YGR119C	2834.51264256858	275.485851893213
YDL035C	199.861496862796	47.3659571478658
YOR231W	15113.49267896	1148.07814274095
YPR001W	2549.56779848699	904.259009352845
YOR100C	591.077075374917	100.802946277928
YDR036C	883.101853779541	13.7050930930808
YMR053C	2624.02876797006	131.693211146454
YNL106C	27055.9310085502	2421.31136298569
YPR001W	983.994337441886	394.949746046649
YDR138W	391.65449537284	2.5489133124729
YAL054C	1731.81499559094	235.402659320769
YMR090W	58.7480855623275	6.01448520655483
YIL153W	2631.25499572165	118.087666362937
YGR046W	3717.65281379212	378.905371182179
YDL180W	3187.69161434769	424.045713344617
YHR084W	198.990666511348	40.2924098495818
YOL057W	9949.5796511709	1811.86290180756
YPR139C	507.434626712633	97.3174584828326
YHR179W	2136.85393082644	581.941808094352
YGL066W	3632.18659085579	280.342599497028
YMR251W	16025.631799298	941.587827449109
YDL077C	6870.61262607512	484.090971497043
YKL187C	2008.35445064224	162.340630137277
YBR208C	1560.10679646536	92.0400971771706
YKL070W	1699.45112002812	196.26493419296
YBL042C	1209.9412700681	42.5558736985559
YMR315W	2856.20976109662	136.593718758098
YJR066W	3588.92091300982	440.323176167756
YPL050C	1209.83887327011	76.2366512655354
YDL174C	1682.53138980875	83.5239639453074
YNR069C	868.319246759401	128.20889434217
YEL063C	4008.87526502908	171.244879898831
YNR047W	1528.46049024475	74.0035600927993
YJL168C	332.311471001824	13.9276936029619
YNL197C	3314.67648525511	315.971067604538
YJL198W	11303.450102782	340.653521643563
YAL061W	3477.92507531503	314.608322627653
YLR376C	2948.22858194495	613.533506522001
YOR178C	5087.81590491535	914.072226144804
YGL162W	396.651650716214	52.730416700875
YBR238C	267.80910857452	62.9795831863277
YKL217W	47514.7315388925	6026.19460497598
YCR005C	10900.2789882056	774.849948193742
YPL259C	493.313408257066	45.1666266056743
YMR178W	213.44167216606	21.2412435095959
YGL056C	1137.33847226658	112.852164062016
YML075C	3877.9201293325	217.119576266224
YAL062W	3424.03394444936	168.717591274715
YDL123W	143.954105632704	23.0067213488812
YEL040W	868.793036845092	220.475367373033
YHR206W	455.48553994535	24.2897867386908
YGL063W	1271.49187582139	155.439487473952
YDL116W	309.926534976938	10.3680668853059
YBR142W	5120.26798531466	491.539214703994
YGL067W	1645.27012929778	83.3736100275
YMR177W	328.608768076666	13.9667363263476
YHR056C	22825.2402285735	2166.46351874892
YBR284W	1290.53565437195	172.779317407599
YBR299W	1673.11424003668	230.562779962787
YJL172W	7476.18611144687	178.409016211614
YLL024C	3992.93436123099	1008.82263097688
YCL039W	6141.78617048263	61.5846999047832
YLR419W	655.006320622744	114.533344382745
YIR038C	644.506046913229	32.5508338505926
