gene	mean	std
YLR007W	1.82E+01	2.21E-01
YLL015W	2.88E+01	8.33E-01
YLR389C	5.59E+01	3.01E+00
YNR075W	1.43E+01	1.29E-01
YMR307W	8.25E+02	4.29E+01
YER084W	8.87E-01	5.48E-02
YJR038C	2.98E-01	1.02E-01
YDL141W	2.16E+01	1.15E+00
YNL130C-A	2.79E-01	3.95E-01
YHR137W	1.45E+01	5.99E-01
YKL086W	1.01E+00	2.20E-01
YIL015W	3.00E+00	3.57E-01
YKL180W	5.61E+02	3.13E+01
YNL297C	4.18E+01	2.54E+00
YGR189C	1.44E+02	1.07E+01
YMR182W-A	3.34E+01	2.11E+00
YHL014C	1.24E+01	3.20E-01
YLL001W	5.41E+01	1.49E+00
YER139C	1.75E+01	1.13E+00
YNL010W	1.15E+02	1.17E+01
YDR453C	1.14E+01	9.48E-03
YGR156W	9.96E+00	3.79E-01
YJL106W	5.04E+00	3.27E-01
YMR089C	6.29E+01	3.97E+00
YHR206W	5.57E+01	1.84E+00
YJL007C	5.51E-01	2.26E-01
YMR107W	7.15E+00	6.16E-01
YDL240C-A	7.84E-01	2.68E-01
YML077W	8.62E+01	7.28E+00
YNL292W	2.06E+01	2.99E-01
YLR241W	4.18E+01	1.08E+00
YPL251W	2.83E-01	1.75E-02
YGL142C	2.42E+01	1.04E+00
YBR231C	1.13E+01	8.66E-01
YDL082W	5.71E+02	2.58E+01
YLR113W	5.96E+01	3.96E+00
YFR002W	4.28E+01	9.07E-01
YLR167W	3.56E+03	3.51E+02
YIR003W	1.62E+01	1.88E-01
YCR017C	5.46E+01	2.82E+00
YOR374W	1.24E+02	1.10E+01
YNL312W	7.54E+01	2.89E+00
YKR065C	4.89E+01	2.84E+00
YOR148C	9.14E+00	9.00E-01
YNR052C	4.57E+01	3.35E-01
YPL260W	6.00E+01	4.32E+00
YBR067C	1.65E+02	2.87E+01
YML073C	4.01E+02	4.95E+00
YOR096W	1.55E+03	3.21E+01
YDL217C	4.77E+01	8.66E-01
YIL011W	8.66E-01	2.08E-01
YBR291C	1.89E+02	2.60E+01
YHR180C-B	1.01E+00	2.26E-01
YNL174W	3.78E-01	1.29E-01
YGR029W	5.91E+01	2.64E+00
YKL206C	3.84E+01	2.71E+00
YGL229C	7.28E+00	7.94E-01
YEL070W	4.81E-01	5.05E-02
YDL164C	2.91E+01	2.34E+00
YGL008C	2.80E+03	6.92E+01
YJR094W-A	3.83E+02	7.37E+01
YFL055W	6.11E+00	3.78E-01
YDR541C	2.02E+01	4.89E-01
YCL024W	1.03E+01	1.53E+00
YNL002C	1.18E+02	5.04E+00
YFL029C	2.41E+01	1.25E+00
YOR237W	4.11E+00	3.94E-01
YIL099W	1.45E+00	1.31E-01
YGL173C	1.80E+02	5.20E+00
YBR286W	5.94E+02	3.27E+01
YLR040C	3.86E+00	3.89E-01
YOR386W	1.78E+01	1.21E+00
YLR076C	8.07E-01	9.32E-02
YLR439W	5.45E+00	4.51E-01
YBL100W-C	5.28E-01	2.20E-01
YDR442W	8.64E-01	2.55E-01
YPR140W	3.12E+01	7.67E-01
YLR183C	4.25E+01	4.56E+00
YJR044C	8.16E+01	7.51E-01
YMR194C-B	8.91E+01	1.18E+00
YBR003W	5.06E+01	4.13E+00
YPR175W	3.10E+01	2.28E+00
YOR086C	1.09E+02	3.71E+00
YOR090C	3.84E+01	4.98E-01
YGR012W	2.07E+01	1.46E+00
YGL128C	3.65E+00	4.85E-01
YML066C	3.41E-01	1.97E-01
YGR101W	2.21E+01	8.41E-01
YAL016W	1.71E+02	9.80E+00
YEL059C-A	1.67E+01	1.98E+00
YGR203W	1.02E+01	1.04E+00
YKL194C	1.64E+01	4.03E-01
YGR097W	2.10E+01	2.94E+00
YJL136W-A	7.55E-01	3.14E-01
YNL100W	7.42E+01	7.91E+00
YBR080C	1.03E+02	4.77E+00
YGR150C	4.15E+01	1.96E+00
YBL022C	4.20E+01	3.62E+00
YKL181W	1.04E+02	9.62E-01
YDL206W	1.31E+01	1.22E+00
YMR048W	1.67E+01	7.13E-01
YKL015W	3.91E+01	1.99E+00
YBR250W	3.37E+00	7.33E-02
YLL021W	4.38E+01	4.81E-01
YKR093W	8.12E+01	1.29E+01
YGL004C	1.99E+01	1.24E-01
YOR212W	1.16E+01	9.08E-01
YJR034W	3.76E+01	2.69E-01
YOR014W	4.68E+01	2.08E-01
YLR346C	5.47E+00	5.36E-01
YHR116W	5.51E+00	6.73E-01
YCR038W-A	0.00E+00	0.00E+00
YDR365W-B	0.00E+00	0.00E+00
YEL077W-A	0.00E+00	0.00E+00
YDR198C	1.88E+01	8.69E-01
YLR239C	2.21E+01	1.92E+00
YIL029C	8.66E+00	7.35E-01
YJL188C	3.38E-01	2.73E-01
YOR146W	5.61E-01	3.47E-02
YHR027C	1.28E+02	7.46E+00
YIL115C	4.58E+01	5.13E-01
YOR190W	6.35E+00	8.26E-02
YBR048W	2.74E+02	1.92E+01
YPL249C-A	6.82E+02	1.02E+02
YGR261C	5.95E+01	7.29E-01
YPL259C	2.03E+01	8.44E-01
YEL069C	2.78E-01	1.72E-02
YIL014C-A	1.98E+01	2.28E+00
YJR059W	4.19E+01	1.79E+00
YHR137C-A	3.32E-01	1.14E-01
YLR398C	3.79E+01	1.55E-01
YBL059C-A	6.19E+01	7.77E+00
YPL186C	8.60E+00	4.32E-01
YKL177W	5.34E+00	1.04E+00
YPR185W	2.66E+01	1.80E+00
YMR245W	5.89E-01	8.51E-02
YOR003W	3.84E+00	2.69E-01
YLL025W	4.67E+00	1.95E-01
YHL024W	1.69E+00	7.94E-02
YLL002W	2.35E+01	2.61E+00
YPR029C	4.45E+01	3.72E-01
YGR142W	1.25E+01	9.69E-01
YDR425W	6.78E+00	7.25E-01
YOR033C	3.03E+01	1.47E+00
YDR117C	2.36E+01	4.45E-01
YOL145C	5.76E+01	7.23E-02
YHR165W-A	4.12E-01	2.55E-02
YDR098C-B	2.02E-02	4.50E-03
YPL052W	5.15E+01	9.81E-01
YGL167C	1.08E+02	6.50E+00
YGR225W	2.16E+00	3.59E-01
YDL128W	1.10E+02	6.02E+00
YNL074C	2.03E+01	3.96E-02
YOR267C	2.34E+01	1.15E-02
YDL083C	7.55E+02	7.97E+01
YBR086C	7.31E+01	4.77E-01
YBR056W	5.32E+01	1.46E+00
YBR191W-A	2.35E+02	5.34E+01
YPL054W	7.39E-01	2.13E-01
YFL020C	8.19E-01	2.15E-01
YHR014W	7.11E-01	7.85E-02
YGR292W	1.09E-01	1.05E-02
YPR159W	1.44E+02	1.89E+00
YBR221C	3.11E+02	5.29E+00
YKL104C	1.52E+02	1.15E+01
YLR031W	2.99E-01	1.97E-01
YBL032W	5.34E+01	1.90E+00
YLR408C	6.32E+00	1.84E-01
YFR052W	9.39E+01	5.33E+00
YLL017W	3.86E+00	6.27E-01
YLR121C	1.85E+01	2.99E+00
YBL008W	2.43E+01	7.87E-01
YOR314W	8.48E-01	1.44E-01
YMR267W	5.46E+01	3.15E+00
YDR055W	6.45E+01	9.59E+00
YEL013W	1.65E+02	1.08E+00
YJL046W	1.34E+01	1.56E-01
YER110C	2.04E+02	2.10E+01
YLR342W	5.00E+02	4.19E+00
YCR102W-A	3.03E+00	1.88E-01
YKL213C	6.94E+01	4.08E+00
YOR142W	2.05E+02	2.51E+01
YIR021W	1.89E+01	8.66E-01
YHR043C	3.24E+01	3.67E+00
YGL205W	3.23E+00	2.04E-01
YOR022C	1.22E+01	1.07E-01
YBR223C	8.57E+00	8.96E-01
YDR301W	3.40E+01	2.74E+00
YGL226W	8.03E+00	9.68E-01
YGL033W	6.56E-01	1.33E-01
YNR059W	1.25E+01	5.68E-01
YDL237W	6.10E+01	5.86E+00
YIL069C	1.90E+02	1.53E+01
YJL136C	1.43E+02	4.61E+00
YDL105W	1.86E+01	2.03E-01
YLR038C	1.62E+02	8.24E-01
YER137W-A	2.87E-01	2.16E-01
YER123W	2.13E+01	7.22E-01
YKL075C	1.93E+01	1.00E+00
YMR017W	1.18E+00	3.52E-01
YOR211C	2.09E+01	6.99E-01
YDR008C	1.41E+00	3.46E-01
YJR093C	2.20E+01	4.04E-01
YMR262W	1.82E+01	5.44E-01
YPR066W	1.27E+01	2.15E-01
YJL066C	2.48E+01	7.73E-01
YER188W	1.04E+01	3.26E-01
YIL086C	1.76E+01	3.13E+00
YCR054C	2.60E+01	1.56E+00
YOR254C	2.00E+02	4.93E+00
YAR050W	5.11E-01	1.19E-01
YNL193W	1.95E+01	1.95E+00
YDR125C	1.57E+01	1.92E+00
YOR351C	5.88E-01	1.61E-02
YLR395C	2.18E+02	1.63E+01
YHR063C	1.88E+02	1.49E+01
YKL135C	4.70E+01	4.13E+00
YDR193W	9.16E-01	1.33E-01
YOR262W	5.09E+01	3.15E+00
YMR117C	2.20E+00	1.47E-01
YMR137C	1.13E+01	2.92E-01
YNL059C	3.07E+01	1.87E+00
YLR231C	6.19E+01	5.47E+00
YDR216W	1.60E+01	2.79E+00
YNL306W	1.15E+02	9.89E+00
YLR315W	7.73E+00	1.26E+00
YKL146W	2.21E+01	1.62E+00
YFR007W	2.02E+01	1.08E+00
YGL001C	5.56E+01	4.65E+00
YKL067W	2.45E+02	3.60E+00
YIL036W	2.25E+01	2.59E+00
YNL195C	2.12E+00	2.54E-01
YMR060C	3.20E+01	1.12E+00
YKL054C	9.06E+01	1.12E+01
YDR168W	5.74E+01	5.06E+00
YOR257W	1.12E+01	7.53E-01
YML095C	2.17E+01	6.70E-01
YBR139W	4.29E+01	3.69E+00
YOR180C	9.67E+00	5.98E-01
YDR477W	6.50E+01	5.58E+00
YER051W	1.46E+01	1.29E+00
YBL061C	2.38E+01	8.29E-01
YNL286W	3.30E+01	1.56E+00
YDR247W	2.21E+01	1.74E+00
YNR010W	5.94E+00	1.31E+00
YKR009C	5.24E+00	5.27E-01
YCL045C	6.41E+01	2.75E-01
YGL227W	1.21E+01	5.15E-01
YFR005C	3.85E+01	7.19E-01
YER104W	1.07E+01	9.30E-01
YPR108W-A	4.01E+00	3.21E-01
YKL093W	8.07E+00	1.10E+00
YIL080W	7.06E-02	9.31E-03
YDR242W	1.46E+01	1.84E-01
YOL025W	1.68E+01	1.07E+00
YCR047W-A	4.14E-01	2.56E-02
YDL101C	1.76E+01	1.56E+00
YJL144W	1.44E+01	7.92E-01
YGL259W	2.13E+00	5.98E-01
YHL046W-A	3.94E-01	2.43E-02
YGL157W	7.50E+01	5.13E+00
YFR004W	1.23E+02	7.56E+00
YFL054C	5.74E+00	1.28E-01
YIL170W	2.63E-01	4.98E-02
YNL327W	1.32E+02	1.65E+01
YMR136W	1.10E+01	1.32E+00
YEL014C	0.00E+00	0.00E+00
YLL061W	1.90E+01	7.22E+00
YBR166C	3.30E+01	2.28E+00
YGR069W	2.80E+00	1.87E-01
YDR327W	1.04E+00	1.21E-01
YIL095W	1.39E+01	8.93E-02
YOR203W	1.13E+01	1.02E+00
YJR141W	2.60E+01	2.86E+00
YIR020W-A	8.44E-02	1.19E-01
YPL261C	3.44E-01	7.67E-02
YPL152W	1.36E+01	1.46E+00
YNL240C	2.41E+01	8.73E-01
YJR096W	2.10E+01	9.05E-01
YBL108C-A	5.06E-01	2.66E-01
YPL135C-A	3.75E-01	1.97E-01
YHR203C	3.33E+02	6.35E+01
YPL119C	1.01E+01	5.03E-01
YDR320W-B	6.82E+00	1.68E-02
YOR324C	1.99E+01	1.10E+00
YFR015C	9.37E+00	1.20E+00
YDR322C-A	1.87E+02	1.68E+01
YOL099C	5.98E+00	7.38E-01
YJL081C	6.38E+01	1.53E+00
YNL155W	2.36E+01	4.07E+00
YOR144C	2.47E+01	6.25E-01
YCR091W	5.22E+00	5.03E-01
YIL067C	3.85E+01	3.42E+00
YLR264W	1.04E+03	6.39E+00
YLR123C	6.47E+00	1.22E+00
YDR333C	4.86E+01	2.89E+00
YGR164W	6.66E+00	9.40E-01
YLR447C	3.05E+02	6.36E-01
YNL127W	2.29E+01	6.20E-01
YMR302C	5.55E+01	4.34E+00
YEL051W	2.65E+02	1.96E+01
YGR194C	1.33E+01	2.00E+00
YBR227C	3.56E+01	4.09E+00
YBR088C	1.04E+02	6.81E-01
YGL117W	9.42E+00	1.50E+00
YOR298W	6.24E+00	5.33E-01
YJL093C	1.58E+01	1.02E+00
YER107W-A	3.95E-01	1.64E-01
YNL334C	9.48E-02	3.94E-02
YMR145C	1.85E+02	6.70E+00
YHR049C-A	1.43E+00	2.02E-01
YBR233W	3.17E+01	3.06E+00
YDL129W	1.22E+01	2.83E-02
YDL172C	1.07E+00	6.01E-02
YOR043W	1.09E+02	3.00E+00
YGL181W	4.94E+01	5.32E-01
YHR072W	7.07E+01	1.42E+00
YER188C-A	3.61E-01	1.23E-01
YLR429W	1.06E+02	3.12E-01
YOL057W	4.63E+01	4.85E+00
YMR004W	3.65E+01	2.45E+00
YHL004W	3.36E+01	2.42E+00
YOR277C	3.63E+00	1.44E+00
YHL011C	1.16E+02	1.56E+01
YEL005C	9.85E+00	2.11E+00
YGL204C	2.66E+01	8.27E-01
YMR261C	5.59E+01	1.62E+00
YDR011W	6.16E+01	2.45E+00
YOR352W	1.77E+01	1.47E+00
YER062C	1.18E+02	1.84E+01
YFL011W	1.13E+00	1.80E-01
YOR317W	2.30E+02	2.27E+01
YDR506C	9.93E+00	2.15E-01
YMR028W	1.83E+01	7.44E-01
YPR108W	1.55E+02	1.75E+01
YBR299W	9.56E-02	6.31E-02
YGR019W	4.93E+01	6.70E+00
YPL113C	6.54E+00	4.88E-02
YEL007W	1.10E+01	1.63E+00
YMR256C	2.41E+02	3.44E+01
YBR006W	2.59E+01	5.83E-02
YHR048W	4.34E+00	5.82E-01
YHR211W	3.35E+00	5.05E-01
YDL045W-A	3.82E+01	2.68E+00
YDL231C	3.42E+01	6.36E-01
YBR061C	4.48E+01	7.41E+00
YLR400W	3.19E-01	8.36E-02
YGL076C	5.12E+02	5.78E+01
YHR098C	7.31E+01	6.14E+00
YDL199C	1.38E+01	1.42E+00
YOR259C	1.31E+02	1.36E+01
YER098W	1.30E+01	1.44E+00
YLR326W	6.25E+00	8.70E-01
YML057C-A	3.30E-01	2.04E-02
YBL071W-A	3.09E+01	5.51E+00
YHR016C	1.68E+01	1.61E+00
YDL202W	2.14E+01	2.01E+00
YPL075W	6.01E+01	3.01E+00
YMR100W	5.41E+01	3.54E+00
YER129W	3.09E+01	4.58E-01
YGR254W	2.59E+03	8.78E+01
YNR020C	3.09E+01	4.33E+00
YNL078W	1.12E+01	2.20E-02
YNL142W	8.85E+01	8.87E+00
YKL161C	1.00E+01	1.40E+00
YDR288W	5.05E+01	9.28E-01
YLR146W-A	1.62E+01	3.56E+00
YBR181C	1.77E+02	4.36E+00
YLL043W	3.47E+01	2.31E+00
YKR097W	3.63E+00	9.87E-01
YDR334W	3.58E+01	1.97E+00
YDR374C	4.86E-01	6.86E-02
YDR505C	4.40E+01	3.56E-01
YBR119W	2.62E+01	8.44E-01
YOR002W	6.47E+01	4.30E+00
YER009W	5.40E+02	6.47E+01
YOR110W	2.93E+01	3.20E+00
YLR169W	4.65E-01	3.30E-01
YHL032C	2.56E+01	6.29E-01
YPL123C	9.23E+00	5.25E-01
YPR177C	3.51E-01	1.84E-01
YNL295W	3.70E+01	5.32E+00
YGL217C	8.72E-01	1.23E-01
YPR097W	3.56E+01	2.90E+00
YLR109W	1.65E+03	2.45E+02
YMR232W	7.30E+00	3.49E-02
YBL008W-A	4.03E+00	1.28E-01
YEL060C	1.45E+02	1.45E+01
YLR363W-A	1.20E+02	2.00E+01
YJL142C	1.21E+01	1.47E+00
YJL090C	2.05E+01	3.83E-01
YJR148W	2.12E+01	2.41E+00
YBR132C	1.75E+01	2.40E+00
YER171W	3.55E+01	2.08E+00
YDR525W-A	1.01E+02	4.58E+00
YNL035C	3.68E+01	2.29E-01
YNR019W	4.73E+01	3.65E+00
YOL123W	1.58E+02	5.03E+00
YOR075W	1.42E+01	6.18E-01
YKL007W	7.97E+01	7.03E+00
YJR151W-A	1.28E+00	6.73E-01
YLL055W	5.42E+01	1.20E+01
YLR032W	1.22E+01	6.38E-01
YNL070W	1.30E+02	1.45E+01
YCR087W	1.20E+00	2.61E-01
YOR132W	4.85E+00	1.24E+00
YLR089C	3.90E+01	4.36E-01
YDR034C-A	1.08E+00	4.47E-01
YNL048W	3.08E+01	7.49E-01
YML090W	3.28E-01	1.36E-01
YHL019C	2.73E+01	3.70E+00
YDL126C	2.42E+02	2.14E+01
YOR008C-A	4.56E-01	6.45E-01
YOR074C	7.21E+01	6.75E+00
YOR072W-A	7.97E+00	1.41E-01
YHR123W	8.85E+01	2.48E+00
YDL220C	7.30E+00	4.87E-01
YKL036C	1.92E+00	3.50E-01
YNL044W	1.05E+02	1.09E+01
YJR023C	9.93E-01	9.26E-02
YDR397C	2.48E+01	1.60E+00
YGL141W	2.54E+01	1.46E+00
YLR322W	4.03E-01	1.67E-01
YKL141W	1.02E+02	3.01E-01
YNL234W	3.70E+01	1.49E+00
YOL098C	6.21E+01	1.22E+00
YPR055W	2.79E+01	1.51E+00
YDR487C	2.22E+02	1.50E+01
YOR137C	3.62E+01	3.47E+00
YNL069C	2.03E+03	4.61E+02
YFR050C	2.65E+02	9.51E+00
YOR268C	2.71E-01	9.26E-02
YBL013W	7.14E+00	8.64E-01
YJR011C	2.64E+01	2.07E+00
YKR016W	3.42E+01	7.33E-01
YCR061W	8.77E+00	1.25E+00
YPR069C	3.38E+02	2.94E+01
YDR350C	2.67E+01	1.92E+00
YMR268C	3.42E+00	4.69E-01
YNR045W	2.15E+01	1.93E+00
YNL024C	1.28E+01	1.01E+00
YLR401C	4.50E+01	2.24E+00
YDL226C	3.34E+01	4.07E+00
YDR259C	3.99E+00	2.99E-01
YMR098C	2.13E+01	1.09E+00
YOL047C	2.93E+00	1.30E-01
YOR354C	4.28E+01	1.45E+00
YKL065W-A	1.63E+00	3.08E-01
YDR102C	4.54E-01	1.19E-01
YPL115C	2.27E+01	1.04E+00
YBR192W	4.49E+01	2.32E+00
YGL060W	2.89E+01	2.14E+00
YPL132W	2.15E+01	1.55E+00
YBL019W	9.95E+00	1.07E+00
YLR056W	7.58E+01	8.90E+00
YIL012W	8.07E-01	3.35E-01
YIL027C	1.21E+02	3.42E+00
YJR001W	5.76E+01	2.24E+00
YGR193C	4.09E+01	2.53E+00
YOR153W	1.38E+02	9.23E+00
YML060W	2.02E+01	1.19E+00
YGR008C	2.27E+01	2.71E+00
YER045C	1.74E+01	9.75E-01
YGR174W-A	5.64E+00	6.95E-01
YLR461W	1.80E-01	9.45E-02
YLR061W	2.12E+03	3.16E+02
YBR176W	2.51E+01	9.38E-01
YPL104W	9.73E+00	1.14E+00
YGR287C	5.11E+00	2.48E-01
YGR127W	1.55E+01	2.81E+00
YPL243W	1.32E+02	7.47E+00
YDR050C	2.59E+03	2.77E+02
YLR449W	1.18E+01	1.81E+00
YOR256C	3.48E+01	1.87E+00
YJL125C	4.45E+01	3.49E+00
YDR074W	3.36E+01	6.30E+00
YHR063W-A	1.33E-01	1.88E-01
YLR118C	5.07E+01	5.67E+00
YOR304W	3.71E+01	1.41E-01
YHR159W	1.15E+01	5.65E-01
YPL249C	1.40E+01	1.27E+00
YBR007C	1.56E+01	1.20E+00
YDR414C	1.60E+01	1.43E+00
YEL017W	3.88E+01	4.32E+00
YHR108W	7.75E+01	7.37E+00
YMR209C	2.53E+01	3.10E-01
YER136W	1.41E+02	2.32E+01
YDL007C-A	3.25E-01	2.15E-01
YER046W-A	1.88E+00	2.46E-02
YJL074C	2.37E+01	3.52E+00
YIL115W-A	8.67E-01	1.35E-01
YGR121W-A	2.78E+00	1.72E-01
YJL009W	8.61E-01	3.31E-01
YBR037C	3.06E+00	6.97E-01
YGL145W	2.86E+01	2.18E+00
YFR019W	1.92E+01	7.33E-01
YBR072C-A	2.76E-01	3.91E-01
YOR155C	3.63E+01	8.37E-01
YOR172W	2.31E+01	3.40E+00
YDL063C	8.37E+01	6.41E-01
YDL001W	2.25E+01	3.43E+00
YER087W	1.19E+01	1.10E+00
YGL013C	3.22E+01	5.11E-01
YDR191W	1.20E+01	8.06E-01
YOR147W	3.92E+01	1.61E+00
YOR219C	2.51E+01	1.03E+00
YOR231C-A	6.50E-01	3.41E-01
YGR222W	2.19E+01	8.74E-01
YDR017C	4.45E+01	1.35E+00
YDR440W	3.10E+01	3.84E+00
YGR182C	1.05E+02	3.75E+00
YBL083C	5.99E+00	1.11E+00
YBR204C	2.46E+01	5.00E-01
YKL080W	4.27E+02	1.01E+01
YNL187W	1.39E+01	1.06E+00
YAL011W	5.12E+00	9.41E-01
YPL172C	2.66E+01	6.62E-01
YGL075C	1.65E+01	9.03E-01
YDL161W	3.68E+01	6.62E+00
YNR068C	6.30E+00	8.33E-01
YGL144C	2.00E+01	2.49E+00
YBL064C	4.55E+01	2.54E+00
YPR130C	1.42E+00	1.62E-01
YCR025C	1.00E+01	9.27E-01
Q0055	2.38E+03	4.18E+02
YHR122W	6.00E+01	1.23E+00
YMR076C	2.38E+01	1.49E+00
